lonr,latr,Igrid,age,AGB,BGB,GPP,NPP
-179,-19,001.0-071.0,12,,,,
-179,-19,001.0-071.0,50,,,,
-179,-17,001.0-073.0,12,,,,
-179,-17,001.0-073.0,50,,,,
-177,-13,003.0-077.0,12,,,,
-177,-13,003.0-077.0,50,,,,
-175,-21,005.0-069.0,12,,,,
-175,-21,005.0-069.0,50,,,,
-175,-19,005.0-071.0,12,,,,
-175,-19,005.0-071.0,50,,,,
-173,-19,007.0-071.0,12,,,,
-173,-19,007.0-071.0,50,,,,
-173,-13,007.0-077.0,12,,,,
-173,-13,007.0-077.0,50,,,,
-171,-15,009.0-075.0,12,,,,
-171,-15,009.0-075.0,50,,,,
-171,-13,009.0-077.0,12,,,,
-171,-13,009.0-077.0,50,,,,
-171,-3,009.0-087.0,12,,,,
-171,-3,009.0-087.0,50,,,,
-159,-19,021.0-071.0,12,,,,
-159,-19,021.0-071.0,50,,,,
-159,21,021.0-111.0,12,,,,
-159,21,021.0-111.0,50,,,,
-157,21,023.0-111.0,12,,,,
-157,21,023.0-111.0,50,,,,
-155,19,025.0-109.0,12,,,,
-155,19,025.0-109.0,50,,,,
-151,-17,029.0-073.0,12,,,,
-151,-17,029.0-073.0,50,,,,
-149,-17,031.0-073.0,12,,,,
-149,-17,031.0-073.0,50,,,,
-113,25,067.0-115.0,12,,,,
-113,25,067.0-115.0,50,,,,
-113,27,067.0-117.0,12,,,,
-113,27,067.0-117.0,50,,,,
-113,29,067.0-119.0,12,,,,
-113,29,067.0-119.0,50,,,,
-111,25,069.0-115.0,12,,,,
-111,25,069.0-115.0,50,,,,
-111,27,069.0-117.0,12,,,,
-111,27,069.0-117.0,50,,,,
-111,29,069.0-119.0,12,,,,
-111,29,069.0-119.0,50,,,,
-109,25,071.0-115.0,12,,,,
-109,25,071.0-115.0,50,,,,
-109,27,071.0-117.0,12,,,,
-109,27,071.0-117.0,50,,,,
-107,23,073.0-113.0,12,,,,
-107,23,073.0-113.0,50,,,,
-107,25,073.0-115.0,12,,,,
-107,25,073.0-115.0,50,,,,
-105,19,075.0-109.0,12,,,,
-105,19,075.0-109.0,50,,,,
-105,21,075.0-111.0,12,,,,
-105,21,075.0-111.0,50,,,,
-105,23,075.0-113.0,12,,,,
-105,23,075.0-113.0,50,,,,
-103,17,077.0-107.0,12,,,,
-103,17,077.0-107.0,50,,,,
-103,19,077.0-109.0,12,,,,
-103,19,077.0-109.0,50,,,,
-101,17,079.0-107.0,12,,,,
-101,17,079.0-107.0,50,,,,
-99,17,081.0-107.0,12,,,,
-99,17,081.0-107.0,50,,,,
-99,23,081.0-113.0,12,,,,
-99,23,081.0-113.0,50,,,,
-97,15,083.0-105.0,12,,,,
-97,15,083.0-105.0,50,,,,
-97,17,083.0-107.0,12,,,,
-97,17,083.0-107.0,50,,,,
-97,19,083.0-109.0,12,,,,
-97,19,083.0-109.0,50,,,,
-97,21,083.0-111.0,12,,,,
-97,21,083.0-111.0,50,,,,
-97,23,083.0-113.0,12,,,,
-97,23,083.0-113.0,50,,,,
-97,25,083.0-115.0,12,,,,
-97,25,083.0-115.0,50,,,,
-97,27,083.0-117.0,12,,,,
-97,27,083.0-117.0,50,,,,
-95,15,085.0-105.0,12,,,,
-95,15,085.0-105.0,50,,,,
-95,17,085.0-107.0,12,,,,
-95,17,085.0-107.0,50,,,,
-95,19,085.0-109.0,12,,,,
-95,19,085.0-109.0,50,,,,
-93,15,087.0-105.0,12,,,,
-93,15,087.0-105.0,50,,,,
-93,17,087.0-107.0,12,,,,
-93,17,087.0-107.0,50,,,,
-93,19,087.0-109.0,12,,,,
-93,19,087.0-109.0,50,,,,
-91,-1,089.0-089.0,12,,,,
-91,-1,089.0-089.0,50,,,,
-91,1,089.0-091.0,12,,,,
-91,1,089.0-091.0,50,,,,
-91,13,089.0-103.0,12,,,,
-91,13,089.0-103.0,50,,,,
-91,15,089.0-105.0,12,,,,
-91,15,089.0-105.0,50,,,,
-91,19,089.0-109.0,12,,,,
-91,19,089.0-109.0,50,,,,
-91,21,089.0-111.0,12,,,,
-91,21,089.0-111.0,50,,,,
-91,29,089.0-119.0,12,,,,
-91,29,089.0-119.0,50,,,,
-89,-1,091.0-089.0,12,,,,
-89,-1,091.0-089.0,50,,,,
-89,13,091.0-103.0,12,,,,
-89,13,091.0-103.0,50,,,,
-89,15,091.0-105.0,12,,,,
-89,15,091.0-105.0,50,,,,
-89,17,091.0-107.0,12,,,,
-89,17,091.0-107.0,50,,,,
-89,19,091.0-109.0,12,,,,
-89,19,091.0-109.0,50,,,,
-89,21,091.0-111.0,12,,,,
-89,21,091.0-111.0,50,,,,
-89,29,091.0-119.0,12,,,,
-89,29,091.0-119.0,50,,,,
-87,11,093.0-101.0,12,,,,
-87,11,093.0-101.0,50,,,,
-87,13,093.0-103.0,12,,,,
-87,13,093.0-103.0,50,,,,
-87,15,093.0-105.0,12,,,,
-87,15,093.0-105.0,50,,,,
-87,17,093.0-107.0,12,,,,
-87,17,093.0-107.0,50,,,,
-87,19,093.0-109.0,12,,,,
-87,19,093.0-109.0,50,,,,
-87,21,093.0-111.0,12,,,,
-87,21,093.0-111.0,50,,,,
-85,9,095.0-099.0,12,,,,
-85,9,095.0-099.0,50,,,,
-85,11,095.0-101.0,12,,,,
-85,11,095.0-101.0,50,,,,
-85,15,095.0-105.0,12,,,,
-85,15,095.0-105.0,50,,,,
-85,17,095.0-107.0,12,,,,
-85,17,095.0-107.0,50,,,,
-85,21,095.0-111.0,12,,,,
-85,21,095.0-111.0,50,,,,
-85,23,095.0-113.0,12,,,,
-85,23,095.0-113.0,50,,,,
-83,9,097.0-099.0,12,,,,
-83,9,097.0-099.0,50,,,,
-83,11,097.0-101.0,12,,,,
-83,11,097.0-101.0,50,,,,
-83,13,097.0-103.0,12,,,,
-83,13,097.0-103.0,50,,,,
-83,15,097.0-105.0,12,,,,
-83,15,097.0-105.0,50,,,,
-83,21,097.0-111.0,12,,,,
