lonr,latr,Igrid
-179,-19,001.0-071.0
-179,-17,001.0-073.0
-177,-13,003.0-077.0
-175,-21,005.0-069.0
-175,-19,005.0-071.0
-173,-19,007.0-071.0
-173,-13,007.0-077.0
-171,-15,009.0-075.0
-171,-13,009.0-077.0
-171,-3,009.0-087.0
-159,-19,021.0-071.0
-159,21,021.0-111.0
-157,21,023.0-111.0
-155,19,025.0-109.0
-151,-17,029.0-073.0
-149,-17,031.0-073.0
-113,25,067.0-115.0
-113,27,067.0-117.0
-113,29,067.0-119.0
-111,25,069.0-115.0
-111,27,069.0-117.0
-111,29,069.0-119.0
-109,25,071.0-115.0
-109,27,071.0-117.0
-107,23,073.0-113.0
-107,25,073.0-115.0
-105,19,075.0-109.0
-105,21,075.0-111.0
-105,23,075.0-113.0
-103,17,077.0-107.0
-103,19,077.0-109.0
-101,17,079.0-107.0
-99,17,081.0-107.0
-99,23,081.0-113.0
-97,15,083.0-105.0
-97,17,083.0-107.0
-97,19,083.0-109.0
-97,21,083.0-111.0
-97,23,083.0-113.0
-97,25,083.0-115.0
-97,27,083.0-117.0
-95,15,085.0-105.0
-95,17,085.0-107.0
-95,19,085.0-109.0
-93,15,087.0-105.0
-93,17,087.0-107.0
-93,19,087.0-109.0
-91,-1,089.0-089.0
-91,1,089.0-091.0
-91,13,089.0-103.0
-91,15,089.0-105.0
-91,19,089.0-109.0
-91,21,089.0-111.0
-91,29,089.0-119.0
-89,-1,091.0-089.0
-89,13,091.0-103.0
-89,15,091.0-105.0
-89,17,091.0-107.0
-89,19,091.0-109.0
-89,21,091.0-111.0
-89,29,091.0-119.0
-87,11,093.0-101.0
-87,13,093.0-103.0
-87,15,093.0-105.0
-87,17,093.0-107.0
-87,19,093.0-109.0
-87,21,093.0-111.0
-85,9,095.0-099.0
-85,11,095.0-101.0
-85,15,095.0-105.0
-85,17,095.0-107.0
-85,21,095.0-111.0
-85,23,095.0-113.0
-83,9,097.0-099.0
-83,11,097.0-101.0
-83,13,097.0-103.0
-83,15,097.0-105.0
-83,21,097.0-111.0
-83,23,097.0-113.0
-83,27,097.0-117.0
-83,29,097.0-119.0
-81,-5,099.0-085.0
-81,-3,099.0-087.0
-81,-1,099.0-089.0
-81,1,099.0-091.0
-81,7,099.0-097.0
-81,9,099.0-099.0
-81,13,099.0-103.0
-81,19,099.0-109.0
-81,21,099.0-111.0
-81,23,099.0-113.0
-81,25,099.0-115.0
-81,27,099.0-117.0
-81,29,099.0-119.0
-79,-3,101.0-087.0
-79,1,101.0-091.0
-79,3,101.0-093.0
-79,7,101.0-097.0
-79,9,101.0-099.0
-79,19,101.0-109.0
-79,21,101.0-111.0
-79,23,101.0-113.0
-79,25,101.0-115.0
-79,27,101.0-117.0
-77,3,103.0-093.0
-77,5,103.0-095.0
-77,7,103.0-097.0
-77,9,103.0-099.0
-77,17,103.0-107.0
-77,19,103.0-109.0
-77,21,103.0-111.0
-77,23,103.0-113.0
-77,25,103.0-115.0
-77,27,103.0-117.0
-75,9,105.0-099.0
-75,11,105.0-101.0
-75,19,105.0-109.0
-75,21,105.0-111.0
-75,23,105.0-113.0
-75,25,105.0-115.0
-73,9,107.0-099.0
-73,11,107.0-101.0
-73,19,107.0-109.0
-73,21,107.0-111.0
-73,23,107.0-113.0
-71,9,109.0-099.0
-71,11,109.0-101.0
-71,13,109.0-103.0
-71,17,109.0-107.0
-71,19,109.0-109.0
-71,21,109.0-111.0
-69,11,111.0-101.0
-69,13,111.0-103.0
-69,19,111.0-109.0
-67,11,113.0-101.0
-67,17,113.0-107.0
-67,19,113.0-109.0
-65,11,115.0-101.0
-65,17,115.0-107.0
-65,19,115.0-109.0
-65,33,115.0-123.0
-63,9,117.0-099.0
