lonr,latr,Igrid
111,19,291.0-109.0
109,19,289.0-109.0
105,-3,285.0-087.0
115,23,295.0-113.0
105,9,285.0-099.0
109,21,289.0-111.0
87,21,267.0-111.0
107,21,287.0-111.0
125,11,305.0-101.0
89,21,269.0-111.0
117,23,297.0-113.0
-81,25,099.0-115.0
89,23,269.0-113.0
153,-25,333.0-065.0
55,25,235.0-115.0
101,5,281.0-095.0
103,1,283.0-091.0
111,21,291.0-111.0
37,-19,217.0-071.0
-53,5,127.0-095.0
139,9,319.0-099.0
-93,19,087.0-109.0
79,11,259.0-101.0
123,11,303.0-101.0
125,1,305.0-091.0
107,11,287.0-101.0
117,-1,297.0-089.0
123,-11,303.0-079.0
147,-19,327.0-071.0
-87,19,093.0-109.0
175,-37,355.0-053.0
151,-33,331.0-057.0
113,23,293.0-113.0
-93,15,087.0-105.0
53,25,233.0-115.0
39,-5,219.0-085.0
103,13,283.0-103.0
107,9,287.0-099.0
163,5,343.0-095.0
115,-9,295.0-081.0
119,9,299.0-099.0
127,27,307.0-117.0
99,9,279.0-099.0
125,25,305.0-115.0
47,-15,227.0-075.0
57,25,237.0-115.0
101,3,281.0-093.0
111,-3,291.0-087.0
121,13,301.0-103.0
123,-5,303.0-085.0
135,7,315.0-097.0
-91,19,089.0-109.0
119,-5,299.0-085.0
109,-7,289.0-083.0
-87,17,093.0-107.0
99,11,279.0-101.0
121,17,301.0-107.0
-83,27,097.0-117.0
-81,1,099.0-091.0
-71,19,109.0-109.0
-41,-19,139.0-071.0
-41,-3,139.0-087.0
-37,-5,143.0-085.0
49,-13,229.0-077.0
59,23,239.0-113.0
75,11,255.0-101.0
79,9,259.0-099.0
119,25,299.0-115.0
121,23,301.0-113.0
125,-9,305.0-081.0
153,-27,333.0-063.0
-87,15,093.0-105.0
107,19,287.0-109.0
-97,27,083.0-117.0
-87,13,093.0-103.0
-83,9,097.0-099.0
-83,23,097.0-113.0
-77,3,103.0-093.0
101,13,281.0-103.0
107,-7,287.0-083.0
117,-21,297.0-069.0
119,-21,299.0-069.0
121,27,301.0-117.0
151,-35,331.0-055.0
-91,21,089.0-111.0
-89,17,091.0-107.0
-81,27,099.0-117.0
-81,29,099.0-119.0
-79,1,101.0-091.0
-77,5,103.0-095.0
-69,19,111.0-109.0
-67,19,113.0-109.0
-49,-27,131.0-063.0
-43,-23,137.0-067.0
-35,-7,145.0-083.0
31,-29,211.0-061.0
103,7,283.0-097.0
105,-5,285.0-085.0
111,-5,291.0-085.0
117,25,297.0-115.0
119,17,299.0-107.0
159,7,339.0-097.0
-85,17,095.0-107.0
-67,17,113.0-107.0
-49,-25,131.0-065.0
-35,-5,145.0-085.0
35,-21,215.0-069.0
39,-9,219.0-081.0
81,7,261.0-097.0
99,7,279.0-097.0
113,-21,293.0-069.0
115,-23,295.0-067.0
119,11,299.0-101.0
121,25,301.0-115.0
-81,-1,099.0-089.0
33,-25,213.0-065.0
107,-5,287.0-085.0
115,5,295.0-095.0
119,15,299.0-105.0
