Iite,Isim,Iloss,Ipara,Irun,p2,p3,p4,p5,Igrid
10,2,0.8141832,63.2061836  0.0876862  0.2019211 50.6583452,218,63.2061836,0.0876862,0.2019211,50.6583452,001.0-071.0
13,23,0.61688348,61.0839464  0.0005999  0.3874528  8.6291035,311,61.0839464,0.0005999,0.3874528,8.6291035,001.0-073.0
16,5,0.92063948,69.1106851  0.090625   0.2045444 97.6233158,365,69.1106851,0.090625,0.2045444,97.6233158,003.0-077.0
8,30,0.38930794,62.0867672  0.0834864  0.143446  31.299552 ,198,62.0867672,0.0834864,0.143446,31.299552,005.0-069.0
10,9,0.50019441,63.5052292  0.0875     0.1624111 18.3198856,225,63.5052292,0.0875,0.1624111,18.3198856,005.0-071.0
9,13,0.67309225,60.3124072  0.094591   0.330098  62.3101169,205,60.3124072,0.094591,0.330098,62.3101169,007.0-071.0
12,18,0.43927846,67.3304001  0.0820086  0.1840264 99.3873822,282,67.3304001,0.0820086,0.1840264,99.3873822,007.0-077.0
14,4,0.64824285,68.8561879  0.08125    0.1125    80.4387467,316,68.8561879,0.08125,0.1125,80.4387467,009.0-075.0
15,26,0.40900258,60.1653598  0.0690374  0.1768487 35.3016625,362,60.1653598,0.0690374,0.1768487,35.3016625,009.0-077.0
14,16,0.44974545,62.514509   0.0039924  0.3846033  7.166996 ,328,62.514509,0.0039924,0.3846033,7.166996,009.0-087.0
14,3,0.31180334,58.4623365  0.046875   0.35625    5.8480042,315,58.4623365,0.046875,0.35625,5.8480042,021.0-071.0
13,29,1.4035158,66.1801803  0.0012653  0.350546  14.188788 ,317,66.1801803,0.0012653,0.350546,14.188788,021.0-111.0
13,15,0.84479763,60.3186111  0.0024815  0.3336394 11.6390376,303,60.3186111,0.0024815,0.3336394,11.6390376,023.0-111.0
6,22,0.12825783,40.4395995  0.0091976  0.375      9.0033957,142,40.4395995,0.0091976,0.375,9.0033957,025.0-109.0
9,29,0.60978199,64.5790721  0.071875   0.1940373 22.3853264,221,64.5790721,0.071875,0.1940373,22.3853264,029.0-073.0
14,23,0.69305266,65.1835057  0.0001214  0.3924539  6.0829442,335,65.1835057,0.0001214,0.3924539,6.0829442,031.0-073.0
15,15,1.1798208,51.831291   0.0006899  0.3918393 86.7012553,351,51.831291,0.0006899,0.3918393,86.7012553,067.0-115.0
8,31,0.77602709,69.9273702  0.0001028  0.2339317 99.7210419,199,69.9273702,0.0001028,0.2339317,99.7210419,067.0-117.0
8,3,0.70622649,57.0136233  0.0017967  0.1129159 99.9865891,171,57.0136233,0.0017967,0.1129159,99.9865891,067.0-119.0
7,7,1.2884065,69.4056769  0.0012596  0.1012812 99.8840538,151,69.4056769,0.0012596,0.1012812,99.8840538,069.0-115.0
